username,follow_ratio,night_post_ratio
joyousjoyness,0.3287906877779941,3.668505395093628
PhozziPhotos,0.4896383890379497,-0.6495275422797733
viorelleonardb,10.124402783903747,-0.6495275422797733
11thdwarf.bsky.social,5.571062088585355,1.0112543567099963
Francien63,0.2180117994691356,0.3469415971140884
kenji,-0.3227994230036599,-0.6495275422797733
VE3RWJ,-0.0438364687816259,3.0041926354977204
epaules_geantes,-0.4648726989645739,-0.6495275422797733
coin360br,-0.4816080217348123,0.3724920878677773
kelvynpromise,5.365295371117215,-0.6495275422797733
LuciaG,-0.3325131779758357,1.3434107365079502
bich,-0.158329935305817,3.3363490152956743
YetiBeets,-0.4816080217348123,2.0077234961038584
lottev,-0.4816080217348123,-0.3173711624818193
whittphotography.bsky.social,-0.384483380657536,-0.6495275422797733
loomnorth,-0.2549838592211678,1.0112543567099963
KarinWanderer,0.0239381869494715,0.6790979769120425
2k115,3.257690659740321,-0.6495275422797733
Batotoeko,0.6474659307885235,2.672036255699766
tiredpinklover,7.1103014224722765,1.3434107365079502
setiinstitute,-0.4732886191791459,-0.6495275422797733
hastingsmothman,-0.4182720112506496,3.0041926354977204
itaint,8.130110153783676,-0.6495275422797733
DarknessOpera,2.577818172199388,-0.6495275422797733
quiflex,-0.186846029628195,0.3469415971140884
hannahcomb,-0.4266811600842881,0.0147852173161346
jason,0.1934597132439943,2.672036255699766
fabricemorillas,1.0635567226764002,-0.6495275422797733
paula-projekt.bsky.social,3.617623153144345,0.0147852173161346
galacticrambler.wordpress.com,-0.4816080217348123,-0.6495275422797733
TrueNorthSpice,1.9436513981065848,2.672036255699766
samuel26,5.325213336403981,2.672036255699766
Amir_USBridge,4.155470995852067,-0.6495275422797733
Masterofsorrow,0.3452639225717283,0.0147852173161346
Abelvicent,4.058706733074185,1.3434107365079502
Kalmdaan,-0.3915441380864172,-0.6495275422797733
Townflex,0.5382007095765877,0.3469415971140884
ceeteejackson.com,-0.4816080217348123,-0.6495275422797733
kenthompson,0.4941349001989346,0.3469415971140884
