username,is_bot_declared,follow_ratio,avg_time_diff_minutes,engagement_rate,night_post_ratio,lexical_diversity
SteveThompson,0,-0.4043836687398058,-0.14221489742661747,-0.1257133416533836,2.6392390283844693,1.1582932151965248
Dragofix,0,0.1318407605588923,-0.14259709401275003,-0.2981898511406636,2.6392390283844693,1.1582932151965248
carinju,0,0.180952558357585,-0.12010760285626912,0.37080994323424066,-0.5101744304681157,1.1582932151965248
rssbot,1,-0.22320357037881888,-0.14224325122956763,-0.3138695338213255,2.6392390283844693,1.1582932151965248
blogto_mirror,1,-0.42150401616087096,-0.12889509800971885,-0.3190960947148794,2.1143367852423722,1.1582932151965248
solarphasing,0,0.040033727856061026,-0.13801547897517943,-0.16752582880181516,1.4144671277195755,1.1582932151965248
tangledwing,0,-0.07253797359773059,-0.11043179990612285,3.412668383282634,1.4144671277195755,1.1582932151965248
wallpapers,1,-0.444562207530877,-0.1405073714870601,-0.3190960947148794,-0.3352070160874166,1.1582932151965248
tness16,0,0.7401363238290457,-0.10881115155537177,-0.27205704667289393,0.01472781267398182,1.1582932151965248
nhgeek,0,1.4480541401192197,-0.022862942134634863,-0.15184614612115332,1.9393693708616728,1.1582932151965248
cazabon,0,-0.19381968049137757,-0.1375384468254598,-0.2825101684600018,1.7644019564809736,1.1582932151965248
MacSourcePorts,0,-0.39611671455147035,-0.0964734202320418,0.16697406838563705,1.0645322989581771,1.1582932151965248
irishindependent,1,-0.444562207530877,-0.1426255292341525,-0.3190960947148794,2.6392390283844693,1.1582932151965248
nyt_us,1,-0.07563114561078019,-0.1390723512968446,-0.20933831595024663,-0.3352070160874166,1.1582932151965248
CuratedRenoir,1,-0.42150401616087096,-0.12030934478817808,-0.2981898511406636,0.01472781267398182,1.1582932151965248
TIBtv,1,-0.444562207530877,-0.12008848629356597,-0.07344773271784422,1.0645322989581771,1.1582932151965248
fediboard_travel,1,-0.444562207530877,-0.12144341926844571,-0.3138695338213255,1.0645322989581771,1.1582932151965248
MATAK79,0,0.0710654784167954,-0.1272840350443038,-0.2825101684600018,0.18969522705468098,1.1582932151965248
MilagrosdeMiau,0,0.10883438534926825,3.0191200767756943,-0.11750017453494171,-0.36020236099894504,1.1582932151965248
SydneyJim,0,-0.3140771161570322,-0.1415605215636944,-0.28773672935355576,0.5396300558160795,1.1582932151965248
CuratedReligiousArt,1,-0.4168923778868697,-0.12027764771673395,-0.3034164120342176,0.01472781267398182,1.1582932151965248
MagnusIdode,0,-0.11903479995432097,-0.13670615747991569,-0.1622992679082612,0.36466264143538013,1.1582932151965248
mathaetaes,0,0.7175706375174281,-0.11846682668197284,-0.09435397629206,0.01472781267398182,1.1582932151965248
sigmanphi.bsky.social,0,-0.04927892690220182,-0.14154544493240953,-0.17797895058892302,0.36466264143538013,1.1582932151965248
GrandpaFoodie,0,1.0879206650602944,-0.12860421352244492,-0.20933831595024663,0.01472781267398182,1.1582932151965248
dailymusic,1,-0.444562207530877,-0.05075484334834754,-0.2929632902471097,2.6392390283844693,1.1582932151965248
tkhunt,0,-0.444562207530877,-0.1424376650747744,-0.3138695338213255,2.6392390283844693,1.1582932151965248
taiwan_news,1,-0.431692519324362,-0.13899982550742482,-0.3138695338213255,1.4144671277195755,1.1582932151965248
CuratedTintoretto,1,-0.3984458247908649,-0.12030925687328942,-0.2981898511406636,0.01472781267398182,1.1582932151965248
eri,0,0.2442625342786704,-0.14007605071297774,-0.06822117182429029,-0.16023960170671733,1.1582932151965248
