username,is_bot_declared,follow_ratio,avg_time_diff_minutes,engagement_rate,night_post_ratio,lexical_diversity,hybrid_cluster,detection_source,outlier_reason,kmeans_cluster,dbscan_cluster,iso_outlier
Phobia0643,0,2.65626499768488,-0.2195885870522412,-0.3893615928112187,2.672036255699766,0.1279065367847236,-1,iso,Statistical Outlier (Isolation Forest),1.0,2.0,-1.0
tomshw,1,-0.4816080217348123,-0.2225781256915697,-0.4785199369240587,-0.6495275422797733,0.0925538419262452,-1,rule,API Declared Bot,,,
joegste,0,0.763765880676617,-0.2150331580891026,0.1356819891866168,0.6790979769120425,1.8747455768507155,0,,,0.0,1.0,1.0
CuratedPicasso,1,-0.4330457011961742,-0.1911070578426297,-0.4785199369240587,0.3469415971140884,-2.672026896006766,-1,rule,API Declared Bot | Extreme Repetitive Content,,,
glpolitics_mirror,1,-0.4404036285505133,-0.1791034556326559,-0.4983329022824676,0.0147852173161346,-0.2029313688311862,-1,rule,API Declared Bot,,,
Theeo123,0,0.1642708414290744,-0.1512912234744134,0.096056058469799,-0.6495275422797733,0.4728108768674396,0,,,0.0,1.0,1.0
azteclady,0,-0.4300510247629582,-0.2130036502849194,2.384453557366025,-0.6495275422797733,1.644341729307194,0,,,0.0,3.0,1.0
isaacrthorne,0,0.2100997702313984,-0.1716676986011474,-0.4091745581696276,-0.6495275422797733,-0.0667718614052776,0,,,0.0,1.0,1.0
StevenSaus,0,0.0529294050636752,-0.2002005420695636,-0.4190810408488321,1.3434107365079502,0.8729629651732775,0,,,0.0,1.0,1.0
news,0,-0.4816080217348123,-0.22290224391436,-0.4884264196032632,-0.6495275422797733,1.0379378112369844,0,,,0.0,1.0,1.0
robmcminn.uk,0,-0.4816080217348123,-0.0261388023226038,-0.3794551101320143,-0.6495275422797733,-1.459060282172376,-1,rule,Extreme Repetitive Content,,,
RoyDeiLock,0,0.1982644658061211,-0.0193259525903887,0.1158690238282079,-0.6495275422797733,-0.7205581398187579,0,,,0.0,1.0,1.0
panthemaid,0,-0.360202220388217,-0.2062342432929043,-0.3794551101320143,0.0147852173161346,0.3997447341431205,0,,,0.0,1.0,1.0
NasuNasu,0,0.5098726892623822,0.754156783038979,-0.2671816397676972,1.5648483230399195,0.1099236630994858,0,,,0.0,1.0,1.0
Static_Cat,0,-0.4816080217348123,-0.0095525174395631,1.1758626705030832,0.0147852173161346,-0.5628579717689178,0,,,0.0,1.0,1.0
golfnews,0,-0.4816080217348123,-0.2228199149354845,-0.4983329022824676,-0.6495275422797733,-0.0493283067724482,0,,,0.0,1.0,1.0
lovableweirdo,0,-0.4816080217348123,-0.0982072751656701,0.6210996404676346,-0.6495275422797733,0.1969073606936536,0,,,0.0,1.0,1.0
Gamery,1,-0.4168582610166281,-0.2007488350951103,-0.4686134542448543,-0.3173711624818193,-0.2031877781147608,-1,rule,API Declared Bot,,,
tickerbar,1,0.1982644658061211,-0.1510620226436248,-0.3398291794151965,-0.6495275422797733,-2.205371323874851,-1,rule,API Declared Bot | Extreme Repetitive Content,,,
foxmental.bsky.social,0,-0.4219700842312217,-0.2217001904810064,-0.3596421447736054,-0.6495275422797733,0.1745720939979148,0,,,0.0,1.0,1.0
iamlayer8,0,1.6255744085939192,-0.2212845631031559,-0.4289875235280365,-0.6495275422797733,1.1818497337085043,0,,,0.0,1.0,1.0
BCWHQuiz,0,0.3115765470629433,-0.1750978956743052,-0.0030087683222454,1.675567116305904,-0.5294727797223256,0,,,0.0,1.0,1.0
rte,1,-0.4816080217348123,-0.2182615094103834,-0.4983329022824676,-0.6495275422797733,-0.3408798827085244,-1,rule,API Declared Bot,,,
mzunain,0,1.072386235501607,-0.1289182282649794,-0.1119800777934943,-0.6495275422797733,0.3308725966781053,0,,,0.0,1.0,1.0
